شناسه محصول,نام محصول,دسته‌بندی,کارگردان,ژانر,امتیاز وزندار,تعداد امتیازها,تعداد نظرات,بازدید,دانلود,نام کاربر,ایمیل کاربر,امتیاز کاربر,نظر کاربر
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Amir456,amir456@example.com,3,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Maryam881,maryam881@example.com,3,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Tara392,tara392@example.com,3,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Leyla445,leyla445@example.com,2,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Arman629,arman629@example.com,5,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Niloofar373,niloofar373@example.com,3,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Behnam387,behnam387@example.com,2,
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Maryam881,maryam881@example.com,,تکنیکال عالی، داستان متوسط.
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Amir456,amir456@example.com,,بد نبود، اما می‌توانست بهتر باشد.
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,Neda911,neda911@example.com,,دیالوگ‌ها بسیار قوی و ماندگار.
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"انیمیشن, ماجراجویی",2.83,10,4,289,48,loginTest,,,از همان دقیقه اول جذبم کرد.
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Reza572,reza572@example.com,5,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Sara236,sara236@example.com,1,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Neda911,neda911@example.com,1,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Mahdi175,mahdi175@example.com,5,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Fatemeh779,fatemeh779@example.com,3,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Maryam881,maryam881@example.com,2,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Saman76,saman76@example.com,2,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Tara392,tara392@example.com,4,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Leyla445,leyla445@example.com,5,
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Zahra47,zahra47@example.com,,جزو بهترین‌هایی بود که دیدم!
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Hossein94,hossein94@example.com,,به هیچ وجه پیشنهاد نمی‌کنم.
67,Fargo,سریال,نواه هاولی,"جنایی, درام",3.11,9,3,253,36,Sara236,sara236@example.com,,موسیقی متن فوق‌العاده بود.
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Tuser,,4,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,loginTest,,4,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Ali741,ali741@example.com,1,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Neda911,neda911@example.com,5,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Hossein94,hossein94@example.com,4,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Zahra47,zahra47@example.com,1,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Mahdi175,mahdi175@example.com,5,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Fatemeh779,fatemeh779@example.com,2,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Amir456,amir456@example.com,2,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Maryam881,maryam881@example.com,4,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Kaveh21,kaveh21@example.com,5,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Niloofar373,niloofar373@example.com,2,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Pouria534,pouria534@example.com,5,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Elham952,elham952@example.com,1,
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Niloofar373,niloofar373@example.com,,دیالوگ‌ها بسیار قوی و ماندگار.
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Tara392,tara392@example.com,,نمی‌فهمم چرا اینقدر معروف شده!
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,Reza572,reza572@example.com,,بد نبود، اما می‌توانست بهتر باشد.
61,Dark,سریال,باران بو اودار,"علمی-تخیلی, معمایی",3.37,14,4,314,60,loginTest,,,دیالوگ‌ها بسیار قوی و ماندگار.
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Tuser,,2,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Ali741,ali741@example.com,3,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Hossein94,hossein94@example.com,4,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Mahdi175,mahdi175@example.com,4,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Amir456,amir456@example.com,1,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Maryam881,maryam881@example.com,3,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Kaveh21,kaveh21@example.com,1,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Leyla445,leyla445@example.com,1,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Niloofar373,niloofar373@example.com,5,
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Pouria534,pouria534@example.com,,کارگردانی خوب، بازیگری عالی.
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Niloofar373,niloofar373@example.com,,جزو بهترین‌هایی بود که دیدم!
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Fatemeh779,fatemeh779@example.com,,بازیگر اصلی عالی بود، بقیه معمولی.
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Sara236,sara236@example.com,,فیلمنامه ضعیف، بازیگری خوب.
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,loginTest,,,فیلم فوق‌العاده‌ای بود! حتماً ببینید.
62,Peaky Blinders,سریال,استیون نایت,"جنایی, درام",2.59,9,6,293,26,Tuser,,,وقت تلف کردن، اصلاً ارزش نداشت.
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Ali741,ali741@example.com,2,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Neda911,neda911@example.com,1,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Mahdi175,mahdi175@example.com,4,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Amir456,amir456@example.com,5,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Tara392,tara392@example.com,1,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Kaveh21,kaveh21@example.com,5,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Niloofar373,niloofar373@example.com,5,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Behnam387,behnam387@example.com,1,
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Saman76,saman76@example.com,,پایان‌بندی عجیبی داشت، سردرگم شدم!
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Amir456,amir456@example.com,,حس و حال خاصی داشت، متفاوت بود.
63,The Last of Us,سریال,کریگ مازین,"اکشن, درام",3.08,8,3,225,25,Zahra47,zahra47@example.com,,بازیگر اصلی عالی بود، بقیه معمولی.
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Neda911,neda911@example.com,5,
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Amir456,amir456@example.com,3,
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Saman76,saman76@example.com,3,
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Pouria534,pouria534@example.com,4,
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Elham952,elham952@example.com,5,
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Behnam387,behnam387@example.com,2,
60,Sherlock,سریال,استیون موفات,"جنایی, درام",3.49,6,1,185,16,Amir456,amir456@example.com,,فیلم فوق‌العاده‌ای بود! حتماً ببینید.
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,loginTest,,1,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Ali741,ali741@example.com,3,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Reza572,reza572@example.com,2,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Mohammad363,mohammad363@example.com,5,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Sara236,sara236@example.com,1,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Zahra47,zahra47@example.com,4,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Mahdi175,mahdi175@example.com,5,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Fatemeh779,fatemeh779@example.com,1,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Saman76,saman76@example.com,3,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Kaveh21,kaveh21@example.com,1,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Niloofar373,niloofar373@example.com,1,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Pouria534,pouria534@example.com,5,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Behnam387,behnam387@example.com,4,
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Saman76,saman76@example.com,,قسمت اول بهتر از این بود.
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Mohammad363,mohammad363@example.com,,حتماً قسمت دوم را هم خواهم دید.
57,The Mandalorian,سریال,جان فاورو,"اکشن, ماجراجویی",2.98,13,3,303,55,Tuser,,,پایان‌بندی عجیبی داشت، سردرگم شدم!
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Hossein94,hossein94@example.com,3,
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Zahra47,zahra47@example.com,3,
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Amir456,amir456@example.com,1,
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Arman629,arman629@example.com,4,
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Niloofar373,niloofar373@example.com,5,
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Behnam387,behnam387@example.com,2,
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Behnam387,behnam387@example.com,,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Saman76,saman76@example.com,,بازیگر اصلی عالی بود، بقیه معمولی.
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Fatemeh779,fatemeh779@example.com,,حتماً قسمت دوم را هم خواهم دید.
58,House of the Dragon,سریال,رایان کاندال,"اکشن, درام",2.86,6,4,223,12,Hossein94,hossein94@example.com,,وقت تلف کردن، اصلاً ارزش نداشت.
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,loginTest,,1,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Reza572,reza572@example.com,4,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Neda911,neda911@example.com,2,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Hossein94,hossein94@example.com,4,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Zahra47,zahra47@example.com,1,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Amir456,amir456@example.com,2,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Saman76,saman76@example.com,2,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Tara392,tara392@example.com,5,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Behnam387,behnam387@example.com,2,
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Behnam387,behnam387@example.com,,شاهکار! بدون شک جزو بهترین‌هاست.
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Pouria534,pouria534@example.com,,فیلم فوق‌العاده‌ای بود! حتماً ببینید.
59,The Boys,سریال,اریک کرپک,"اکشن, کمدی",2.72,9,3,248,16,Leyla445,leyla445@example.com,,به هیچ وجه پیشنهاد نمی‌کنم.
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Mohammad363,mohammad363@example.com,4,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Neda911,neda911@example.com,1,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Zahra47,zahra47@example.com,2,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Mahdi175,mahdi175@example.com,5,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Fatemeh779,fatemeh779@example.com,3,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Maryam881,maryam881@example.com,2,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Saman76,saman76@example.com,5,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Tara392,tara392@example.com,3,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Kaveh21,kaveh21@example.com,1,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Leyla445,leyla445@example.com,4,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Niloofar373,niloofar373@example.com,3,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Elham952,elham952@example.com,3,
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Pouria534,pouria534@example.com,,فیلم فوق‌العاده‌ای بود! حتماً ببینید.
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Zahra47,zahra47@example.com,,برای یک بار دیدن خوبه.
56,Black Mirror,سریال,چارلی بروکر,"علمی-تخیلی, دلهره‌آور",3.02,12,3,301,27,Sara236,sara236@example.com,,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,loginTest,,5,
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Reza572,reza572@example.com,5,
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Mohammad363,mohammad363@example.com,2,
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Sara236,sara236@example.com,4,
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Neda911,neda911@example.com,2,
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Amir456,amir456@example.com,2,
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Leyla445,leyla445@example.com,,به هیچ وجه پیشنهاد نمی‌کنم.
53,The Wire,سریال,دیوید سایمون,"جنایی, درام",3.15,6,2,187,10,Ali741,ali741@example.com,,حس و حال خاصی داشت، متفاوت بود.
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Tuser,,4,
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Reza572,reza572@example.com,3,
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Neda911,neda911@example.com,3,
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Kaveh21,kaveh21@example.com,4,
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Leyla445,leyla445@example.com,2,
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Behnam387,behnam387@example.com,1,
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Zahra47,zahra47@example.com,,خیلی طولانی بود، خسته‌کننده.
54,Stranger Things,سریال,دافر برادران,"علمی-تخیلی, درام",2.96,6,2,197,15,Reza572,reza572@example.com,,بد نبود، اما می‌توانست بهتر باشد.
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,loginTest,,4,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Ali741,ali741@example.com,2,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Reza572,reza572@example.com,5,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Neda911,neda911@example.com,4,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Hossein94,hossein94@example.com,5,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Mahdi175,mahdi175@example.com,4,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Amir456,amir456@example.com,1,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Leyla445,leyla445@example.com,2,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Niloofar373,niloofar373@example.com,4,
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Kaveh21,kaveh21@example.com,,بازیگر اصلی عالی بود، بقیه معمولی.
55,The Crown,سریال,پیتر مورگان,"بیوگرافی, درام",3.29,9,2,237,46,Sara236,sara236@example.com,,بازیگری عالی بود، داستان جذاب.
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Zahra47,zahra47@example.com,4,
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Mahdi175,mahdi175@example.com,2,
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Tara392,tara392@example.com,2,
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Niloofar373,niloofar373@example.com,5,
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Behnam387,behnam387@example.com,3,
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Behnam387,behnam387@example.com,,ارزش دیدن دارد، اما نه بیشتر.
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Arman629,arman629@example.com,,قسمت اول بهتر از این بود.
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Zahra47,zahra47@example.com,,خیلی طولانی بود، خسته‌کننده.
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Sara236,sara236@example.com,,فیلم فوق‌العاده‌ای بود! حتماً ببینید.
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,Ali741,ali741@example.com,,برای یک بار دیدن خوبه.
49,Game of Thrones,سریال,"دیوید بنیاف, دی. بی. وایس","اکشن, ماجراجویی",3.03,5,6,196,22,loginTest,,,قسمت اول بهتر از این بود.
50,Chernobyl,سریال,یوهان رنک,"درام, تاریخی",2.79,9,6,271,40,Tuser,,3,
50,Chernobyl,سریال,یوهان رنک,"درام, تاریخی",2.79,9,6,271,40,Ali741,ali741@example.com,5,
50,Chernobyl,سریال,یوهان رنک,"درام, تاریخی",2.79,9,6,271,40,Zahra47,zahra47@example.com,4,
50,Chernobyl,سریال,یوهان رنک,"درام, تاریخی",2.79,9,6,271,40,Mahdi175,mahdi175@example.com,2,
50,Chernobyl,سریال,یوهان رنک,"درام, تاریخی",2.79,9,6,271,40,Fatemeh779,fatemeh779@example.com,3,
